LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDPHRWKD,TOT,IDX2015,A,2001,83.746965,
AUS,GDPHRWKD,TOT,IDX2015,A,2002,85.015035,
AUS,GDPHRWKD,TOT,IDX2015,A,2003,86.971034,
AUS,GDPHRWKD,TOT,IDX2015,A,2004,86.684826,
AUS,GDPHRWKD,TOT,IDX2015,A,2005,86.983829,
AUS,GDPHRWKD,TOT,IDX2015,A,2006,87.42353,
AUS,GDPHRWKD,TOT,IDX2015,A,2007,88.411503,
AUS,GDPHRWKD,TOT,IDX2015,A,2008,91.456608,
AUS,GDPHRWKD,TOT,IDX2015,A,2009,90.665463,
AUS,GDPHRWKD,TOT,IDX2015,A,2010,92.166362,
AUS,GDPHRWKD,TOT,IDX2015,A,2011,93.250113,
AUS,GDPHRWKD,TOT,IDX2015,A,2012,95.4977,
AUS,GDPHRWKD,TOT,IDX2015,A,2013,97.122744,
AUS,GDPHRWKD,TOT,IDX2015,A,2014,97.551885,
AUS,GDPHRWKD,TOT,IDX2015,A,2015,100,
AUS,GDPHRWKD,TOT,IDX2015,A,2016,99.728309,
AUS,GDPHRWKD,TOT,IDX2015,A,2017,100.854561,
AUS,GDPHRWKD,TOT,IDX2015,A,2018,100.811475,E
AUS,GDPHRWKD,TOT,IDX2015,A,2019,102.079521,E
AUS,GDPHRWKD,TOT,IDX2015,A,2020,103.12824,E
AUT,GDPHRWKD,TOT,IDX2015,A,2001,84.042707,
AUT,GDPHRWKD,TOT,IDX2015,A,2002,85.615532,
AUT,GDPHRWKD,TOT,IDX2015,A,2003,86.329189,
AUT,GDPHRWKD,TOT,IDX2015,A,2004,87.979271,
AUT,GDPHRWKD,TOT,IDX2015,A,2005,90.135954,
AUT,GDPHRWKD,TOT,IDX2015,A,2006,92.494362,
AUT,GDPHRWKD,TOT,IDX2015,A,2007,94.86588,
AUT,GDPHRWKD,TOT,IDX2015,A,2008,94.866485,
AUT,GDPHRWKD,TOT,IDX2015,A,2009,94.195928,
AUT,GDPHRWKD,TOT,IDX2015,A,2010,95.57564,
AUT,GDPHRWKD,TOT,IDX2015,A,2011,96.55155,
AUT,GDPHRWKD,TOT,IDX2015,A,2012,97.588568,
AUT,GDPHRWKD,TOT,IDX2015,A,2013,98.235449,
AUT,GDPHRWKD,TOT,IDX2015,A,2014,98.602214,
AUT,GDPHRWKD,TOT,IDX2015,A,2015,100,
AUT,GDPHRWKD,TOT,IDX2015,A,2016,99.877092,
AUT,GDPHRWKD,TOT,IDX2015,A,2017,101.087913,
AUT,GDPHRWKD,TOT,IDX2015,A,2018,101.624302,
AUT,GDPHRWKD,TOT,IDX2015,A,2019,101.500177,
AUT,GDPHRWKD,TOT,IDX2015,A,2020,103.705325,
BEL,GDPHRWKD,TOT,IDX2015,A,2001,88.309445,
BEL,GDPHRWKD,TOT,IDX2015,A,2002,88.915037,
BEL,GDPHRWKD,TOT,IDX2015,A,2003,89.66458,
BEL,GDPHRWKD,TOT,IDX2015,A,2004,92.561794,
BEL,GDPHRWKD,TOT,IDX2015,A,2005,93.971437,
BEL,GDPHRWKD,TOT,IDX2015,A,2006,94.459137,
BEL,GDPHRWKD,TOT,IDX2015,A,2007,96.205262,
BEL,GDPHRWKD,TOT,IDX2015,A,2008,95.614367,
BEL,GDPHRWKD,TOT,IDX2015,A,2009,94.994876,
BEL,GDPHRWKD,TOT,IDX2015,A,2010,96.437346,
BEL,GDPHRWKD,TOT,IDX2015,A,2011,95.778661,
BEL,GDPHRWKD,TOT,IDX2015,A,2012,96.255207,
BEL,GDPHRWKD,TOT,IDX2015,A,2013,97.085446,
BEL,GDPHRWKD,TOT,IDX2015,A,2014,98.476362,
BEL,GDPHRWKD,TOT,IDX2015,A,2015,100,
BEL,GDPHRWKD,TOT,IDX2015,A,2016,100.097921,
BEL,GDPHRWKD,TOT,IDX2015,A,2017,99.90136,
BEL,GDPHRWKD,TOT,IDX2015,A,2018,100.133328,
BEL,GDPHRWKD,TOT,IDX2015,A,2019,100.85839,
BEL,GDPHRWKD,TOT,IDX2015,A,2020,104.026553,
CAN,GDPHRWKD,TOT,IDX2015,A,2001,88.130139,
CAN,GDPHRWKD,TOT,IDX2015,A,2002,89.559951,
CAN,GDPHRWKD,TOT,IDX2015,A,2003,89.782582,
CAN,GDPHRWKD,TOT,IDX2015,A,2004,90.538516,
CAN,GDPHRWKD,TOT,IDX2015,A,2005,92.54895,
CAN,GDPHRWKD,TOT,IDX2015,A,2006,93.536181,
CAN,GDPHRWKD,TOT,IDX2015,A,2007,93.530266,
CAN,GDPHRWKD,TOT,IDX2015,A,2008,93.263998,
CAN,GDPHRWKD,TOT,IDX2015,A,2009,93.711958,
CAN,GDPHRWKD,TOT,IDX2015,A,2010,94.665715,
CAN,GDPHRWKD,TOT,IDX2015,A,2011,96.212489,
CAN,GDPHRWKD,TOT,IDX2015,A,2012,96.422627,
CAN,GDPHRWKD,TOT,IDX2015,A,2013,97.703277,
CAN,GDPHRWKD,TOT,IDX2015,A,2014,100.265786,
CAN,GDPHRWKD,TOT,IDX2015,A,2015,100,
CAN,GDPHRWKD,TOT,IDX2015,A,2016,100.163681,
CAN,GDPHRWKD,TOT,IDX2015,A,2017,101.94905,
CAN,GDPHRWKD,TOT,IDX2015,A,2018,102.274591,
CAN,GDPHRWKD,TOT,IDX2015,A,2019,103.213104,
CAN,GDPHRWKD,TOT,IDX2015,A,2020,111.381839,
CZE,GDPHRWKD,TOT,IDX2015,A,2001,71.069051,
CZE,GDPHRWKD,TOT,IDX2015,A,2002,72.17471,
CZE,GDPHRWKD,TOT,IDX2015,A,2003,75.911047,
CZE,GDPHRWKD,TOT,IDX2015,A,2004,79.07466,
CZE,GDPHRWKD,TOT,IDX2015,A,2005,83.181538,
CZE,GDPHRWKD,TOT,IDX2015,A,2006,88.300324,
CZE,GDPHRWKD,TOT,IDX2015,A,2007,92.043508,
CZE,GDPHRWKD,TOT,IDX2015,A,2008,91.746867,
CZE,GDPHRWKD,TOT,IDX2015,A,2009,89.624169,
CZE,GDPHRWKD,TOT,IDX2015,A,2010,91.719351,
CZE,GDPHRWKD,TOT,IDX2015,A,2011,93.258994,
CZE,GDPHRWKD,TOT,IDX2015,A,2012,93.645328,
CZE,GDPHRWKD,TOT,IDX2015,A,2013,93.944265,
CZE,GDPHRWKD,TOT,IDX2015,A,2014,95.029948,
CZE,GDPHRWKD,TOT,IDX2015,A,2015,100,
CZE,GDPHRWKD,TOT,IDX2015,A,2016,99.648324,
CZE,GDPHRWKD,TOT,IDX2015,A,2017,103.061394,
CZE,GDPHRWKD,TOT,IDX2015,A,2018,104.47482,
CZE,GDPHRWKD,TOT,IDX2015,A,2019,107.295349,
CZE,GDPHRWKD,TOT,IDX2015,A,2020,107.760298,
DNK,GDPHRWKD,TOT,IDX2015,A,2001,85.319344,
DNK,GDPHRWKD,TOT,IDX2015,A,2002,86.020806,
DNK,GDPHRWKD,TOT,IDX2015,A,2003,87.440463,
DNK,GDPHRWKD,TOT,IDX2015,A,2004,90.232667,
DNK,GDPHRWKD,TOT,IDX2015,A,2005,91.467821,
DNK,GDPHRWKD,TOT,IDX2015,A,2006,92.67329,
DNK,GDPHRWKD,TOT,IDX2015,A,2007,92.844194,
DNK,GDPHRWKD,TOT,IDX2015,A,2008,91.462002,
DNK,GDPHRWKD,TOT,IDX2015,A,2009,90.618973,
DNK,GDPHRWKD,TOT,IDX2015,A,2010,94.165396,
DNK,GDPHRWKD,TOT,IDX2015,A,2011,94.491438,
DNK,GDPHRWKD,TOT,IDX2015,A,2012,96.297436,
DNK,GDPHRWKD,TOT,IDX2015,A,2013,97.054659,
DNK,GDPHRWKD,TOT,IDX2015,A,2014,98.592133,
DNK,GDPHRWKD,TOT,IDX2015,A,2015,100,
DNK,GDPHRWKD,TOT,IDX2015,A,2016,101.19061,
DNK,GDPHRWKD,TOT,IDX2015,A,2017,103.081941,
DNK,GDPHRWKD,TOT,IDX2015,A,2018,105.350786,
DNK,GDPHRWKD,TOT,IDX2015,A,2019,106.869184,
DNK,GDPHRWKD,TOT,IDX2015,A,2020,107.688008,
FIN,GDPHRWKD,TOT,IDX2015,A,2001,88.120616,
FIN,GDPHRWKD,TOT,IDX2015,A,2002,88.964517,
FIN,GDPHRWKD,TOT,IDX2015,A,2003,90.811656,
FIN,GDPHRWKD,TOT,IDX2015,A,2004,93.883623,
FIN,GDPHRWKD,TOT,IDX2015,A,2005,95.689541,
FIN,GDPHRWKD,TOT,IDX2015,A,2006,98.009302,
FIN,GDPHRWKD,TOT,IDX2015,A,2007,101.158926,
FIN,GDPHRWKD,TOT,IDX2015,A,2008,99.976128,
FIN,GDPHRWKD,TOT,IDX2015,A,2009,95.548042,
FIN,GDPHRWKD,TOT,IDX2015,A,2010,98.876026,
FIN,GDPHRWKD,TOT,IDX2015,A,2011,100.245544,
FIN,GDPHRWKD,TOT,IDX2015,A,2012,98.634352,
FIN,GDPHRWKD,TOT,IDX2015,A,2013,98.997587,
FIN,GDPHRWKD,TOT,IDX2015,A,2014,99.193091,
FIN,GDPHRWKD,TOT,IDX2015,A,2015,100,
FIN,GDPHRWKD,TOT,IDX2015,A,2016,102.349147,
FIN,GDPHRWKD,TOT,IDX2015,A,2017,104.924754,
FIN,GDPHRWKD,TOT,IDX2015,A,2018,103.725411,
FIN,GDPHRWKD,TOT,IDX2015,A,2019,103.568273,
FIN,GDPHRWKD,TOT,IDX2015,A,2020,103.263928,
FRA,GDPHRWKD,TOT,IDX2015,A,2001,89.163111,
FRA,GDPHRWKD,TOT,IDX2015,A,2002,91.766179,
FRA,GDPHRWKD,TOT,IDX2015,A,2003,92.289942,
FRA,GDPHRWKD,TOT,IDX2015,A,2004,93.309866,
FRA,GDPHRWKD,TOT,IDX2015,A,2005,94.138072,
FRA,GDPHRWKD,TOT,IDX2015,A,2006,96.481781,
FRA,GDPHRWKD,TOT,IDX2015,A,2007,96.0296,
FRA,GDPHRWKD,TOT,IDX2015,A,2008,95.416924,
FRA,GDPHRWKD,TOT,IDX2015,A,2009,94.440997,
FRA,GDPHRWKD,TOT,IDX2015,A,2010,95.663522,
FRA,GDPHRWKD,TOT,IDX2015,A,2011,96.621402,
FRA,GDPHRWKD,TOT,IDX2015,A,2012,96.937089,
FRA,GDPHRWKD,TOT,IDX2015,A,2013,98.249867,
FRA,GDPHRWKD,TOT,IDX2015,A,2014,99.195227,
FRA,GDPHRWKD,TOT,IDX2015,A,2015,100,
FRA,GDPHRWKD,TOT,IDX2015,A,2016,100.279427,
FRA,GDPHRWKD,TOT,IDX2015,A,2017,102.395091,
FRA,GDPHRWKD,TOT,IDX2015,A,2018,102.814627,
FRA,GDPHRWKD,TOT,IDX2015,A,2019,103.215736,
FRA,GDPHRWKD,TOT,IDX2015,A,2020,103.498196,
DEU,GDPHRWKD,TOT,IDX2015,A,2001,89.255258,
DEU,GDPHRWKD,TOT,IDX2015,A,2002,90.082726,
DEU,GDPHRWKD,TOT,IDX2015,A,2003,90.775624,
DEU,GDPHRWKD,TOT,IDX2015,A,2004,91.602335,
DEU,GDPHRWKD,TOT,IDX2015,A,2005,93.047959,
DEU,GDPHRWKD,TOT,IDX2015,A,2006,94.536022,
DEU,GDPHRWKD,TOT,IDX2015,A,2007,95.652946,
DEU,GDPHRWKD,TOT,IDX2015,A,2008,95.677826,
DEU,GDPHRWKD,TOT,IDX2015,A,2009,92.797837,
DEU,GDPHRWKD,TOT,IDX2015,A,2010,94.936987,
DEU,GDPHRWKD,TOT,IDX2015,A,2011,97.40629,
DEU,GDPHRWKD,TOT,IDX2015,A,2012,98.007256,
DEU,GDPHRWKD,TOT,IDX2015,A,2013,98.472527,
DEU,GDPHRWKD,TOT,IDX2015,A,2014,99.49312,
DEU,GDPHRWKD,TOT,IDX2015,A,2015,100,
DEU,GDPHRWKD,TOT,IDX2015,A,2016,101.355337,
DEU,GDPHRWKD,TOT,IDX2015,A,2017,103.162111,
DEU,GDPHRWKD,TOT,IDX2015,A,2018,103.203085,
DEU,GDPHRWKD,TOT,IDX2015,A,2019,103.582387,
DEU,GDPHRWKD,TOT,IDX2015,A,2020,103.97942,
GRC,GDPHRWKD,TOT,IDX2015,A,2001,103.993679,
GRC,GDPHRWKD,TOT,IDX2015,A,2002,105.917381,
GRC,GDPHRWKD,TOT,IDX2015,A,2003,110.580313,
GRC,GDPHRWKD,TOT,IDX2015,A,2004,113.958502,
GRC,GDPHRWKD,TOT,IDX2015,A,2005,110.725209,
GRC,GDPHRWKD,TOT,IDX2015,A,2006,115.465677,
GRC,GDPHRWKD,TOT,IDX2015,A,2007,118.483982,
GRC,GDPHRWKD,TOT,IDX2015,A,2008,116.82998,
GRC,GDPHRWKD,TOT,IDX2015,A,2009,113.806628,
GRC,GDPHRWKD,TOT,IDX2015,A,2010,112.773708,
GRC,GDPHRWKD,TOT,IDX2015,A,2011,104.824015,
GRC,GDPHRWKD,TOT,IDX2015,A,2012,99.393633,
GRC,GDPHRWKD,TOT,IDX2015,A,2013,97.118275,
GRC,GDPHRWKD,TOT,IDX2015,A,2014,96.547255,
GRC,GDPHRWKD,TOT,IDX2015,A,2015,100,
GRC,GDPHRWKD,TOT,IDX2015,A,2016,95.84495,
GRC,GDPHRWKD,TOT,IDX2015,A,2017,97.190337,
GRC,GDPHRWKD,TOT,IDX2015,A,2018,93.617747,
GRC,GDPHRWKD,TOT,IDX2015,A,2019,96.692463,
GRC,GDPHRWKD,TOT,IDX2015,A,2020,98.967287,
HUN,GDPHRWKD,TOT,IDX2015,A,2001,73.254053,
HUN,GDPHRWKD,TOT,IDX2015,A,2002,77.421393,
HUN,GDPHRWKD,TOT,IDX2015,A,2003,80.224137,
HUN,GDPHRWKD,TOT,IDX2015,A,2004,85.038384,
HUN,GDPHRWKD,TOT,IDX2015,A,2005,90.531794,
HUN,GDPHRWKD,TOT,IDX2015,A,2006,94.382088,
HUN,GDPHRWKD,TOT,IDX2015,A,2007,96.726055,
HUN,GDPHRWKD,TOT,IDX2015,A,2008,99.283985,
HUN,GDPHRWKD,TOT,IDX2015,A,2009,96.292534,
HUN,GDPHRWKD,TOT,IDX2015,A,2010,97.54005,B
HUN,GDPHRWKD,TOT,IDX2015,A,2011,100.111419,
HUN,GDPHRWKD,TOT,IDX2015,A,2012,98.821862,
HUN,GDPHRWKD,TOT,IDX2015,A,2013,99.597047,
HUN,GDPHRWKD,TOT,IDX2015,A,2014,98.428466,
HUN,GDPHRWKD,TOT,IDX2015,A,2015,100,
HUN,GDPHRWKD,TOT,IDX2015,A,2016,97.731187,
HUN,GDPHRWKD,TOT,IDX2015,A,2017,100.713457,
HUN,GDPHRWKD,TOT,IDX2015,A,2018,104.792472,
HUN,GDPHRWKD,TOT,IDX2015,A,2019,108.838727,
HUN,GDPHRWKD,TOT,IDX2015,A,2020,112.09791,
ISL,GDPHRWKD,TOT,IDX2015,A,2001,70.773632,
ISL,GDPHRWKD,TOT,IDX2015,A,2002,73.725894,
ISL,GDPHRWKD,TOT,IDX2015,A,2003,76.626231,
ISL,GDPHRWKD,TOT,IDX2015,A,2004,82.619162,
ISL,GDPHRWKD,TOT,IDX2015,A,2005,85.326985,
ISL,GDPHRWKD,TOT,IDX2015,A,2006,86.866812,
ISL,GDPHRWKD,TOT,IDX2015,A,2007,91.359717,
ISL,GDPHRWKD,TOT,IDX2015,A,2008,91.303145,
ISL,GDPHRWKD,TOT,IDX2015,A,2009,97.143961,
ISL,GDPHRWKD,TOT,IDX2015,A,2010,96.145908,
ISL,GDPHRWKD,TOT,IDX2015,A,2011,96.228729,
ISL,GDPHRWKD,TOT,IDX2015,A,2012,96.367313,
ISL,GDPHRWKD,TOT,IDX2015,A,2013,98.391482,
ISL,GDPHRWKD,TOT,IDX2015,A,2014,98.347418,
ISL,GDPHRWKD,TOT,IDX2015,A,2015,100,
ISL,GDPHRWKD,TOT,IDX2015,A,2016,101.109382,
ISL,GDPHRWKD,TOT,IDX2015,A,2017,101.932426,
ISL,GDPHRWKD,TOT,IDX2015,A,2018,104.542239,
ISL,GDPHRWKD,TOT,IDX2015,A,2019,108.374502,
ISL,GDPHRWKD,TOT,IDX2015,A,2020,108.794555,
IRL,GDPHRWKD,TOT,IDX2015,A,2001,60.427816,
IRL,GDPHRWKD,TOT,IDX2015,A,2002,63.636935,
IRL,GDPHRWKD,TOT,IDX2015,A,2003,64.954182,
IRL,GDPHRWKD,TOT,IDX2015,A,2004,67.4984,
IRL,GDPHRWKD,TOT,IDX2015,A,2005,67.741982,
IRL,GDPHRWKD,TOT,IDX2015,A,2006,68.132518,
IRL,GDPHRWKD,TOT,IDX2015,A,2007,69.254072,
IRL,GDPHRWKD,TOT,IDX2015,A,2008,67.325415,
IRL,GDPHRWKD,TOT,IDX2015,A,2009,70.555334,
IRL,GDPHRWKD,TOT,IDX2015,A,2010,78.787149,B
IRL,GDPHRWKD,TOT,IDX2015,A,2011,80.655112,
IRL,GDPHRWKD,TOT,IDX2015,A,2012,80.994014,
IRL,GDPHRWKD,TOT,IDX2015,A,2013,79.414746,
IRL,GDPHRWKD,TOT,IDX2015,A,2014,83.416165,
IRL,GDPHRWKD,TOT,IDX2015,A,2015,100,
IRL,GDPHRWKD,TOT,IDX2015,A,2016,98.812969,
IRL,GDPHRWKD,TOT,IDX2015,A,2017,103.801225,
IRL,GDPHRWKD,TOT,IDX2015,A,2018,109.265966,
IRL,GDPHRWKD,TOT,IDX2015,A,2019,112.090138,
IRL,GDPHRWKD,TOT,IDX2015,A,2020,122.434186,
ITA,GDPHRWKD,TOT,IDX2015,A,2001,99.78275,
ITA,GDPHRWKD,TOT,IDX2015,A,2002,99.00028,
ITA,GDPHRWKD,TOT,IDX2015,A,2003,98.298734,
ITA,GDPHRWKD,TOT,IDX2015,A,2004,99.123067,
ITA,GDPHRWKD,TOT,IDX2015,A,2005,99.565938,
ITA,GDPHRWKD,TOT,IDX2015,A,2006,99.346739,
ITA,GDPHRWKD,TOT,IDX2015,A,2007,99.271227,
ITA,GDPHRWKD,TOT,IDX2015,A,2008,98.70518,
ITA,GDPHRWKD,TOT,IDX2015,A,2009,96.73892,
ITA,GDPHRWKD,TOT,IDX2015,A,2010,98.938252,
ITA,GDPHRWKD,TOT,IDX2015,A,2011,99.606174,
ITA,GDPHRWKD,TOT,IDX2015,A,2012,99.073743,
ITA,GDPHRWKD,TOT,IDX2015,A,2013,99.86123,
ITA,GDPHRWKD,TOT,IDX2015,A,2014,99.940667,
ITA,GDPHRWKD,TOT,IDX2015,A,2015,100,
ITA,GDPHRWKD,TOT,IDX2015,A,2016,99.692606,
ITA,GDPHRWKD,TOT,IDX2015,A,2017,100.335718,
ITA,GDPHRWKD,TOT,IDX2015,A,2018,100.323292,
ITA,GDPHRWKD,TOT,IDX2015,A,2019,100.755451,
ITA,GDPHRWKD,TOT,IDX2015,A,2020,103.03525,
JPN,GDPHRWKD,TOT,IDX2015,A,2001,85.752674,
JPN,GDPHRWKD,TOT,IDX2015,A,2002,87.332856,
JPN,GDPHRWKD,TOT,IDX2015,A,2003,88.57762,
JPN,GDPHRWKD,TOT,IDX2015,A,2004,90.604633,
JPN,GDPHRWKD,TOT,IDX2015,A,2005,92.124341,
JPN,GDPHRWKD,TOT,IDX2015,A,2006,92.27258,
JPN,GDPHRWKD,TOT,IDX2015,A,2007,92.852104,
JPN,GDPHRWKD,TOT,IDX2015,A,2008,92.582326,
JPN,GDPHRWKD,TOT,IDX2015,A,2009,91.266296,
JPN,GDPHRWKD,TOT,IDX2015,A,2010,94.087959,
JPN,GDPHRWKD,TOT,IDX2015,A,2011,94.680171,
JPN,GDPHRWKD,TOT,IDX2015,A,2012,95.716034,
JPN,GDPHRWKD,TOT,IDX2015,A,2013,97.855026,
JPN,GDPHRWKD,TOT,IDX2015,A,2014,98.028532,
JPN,GDPHRWKD,TOT,IDX2015,A,2015,100,
JPN,GDPHRWKD,TOT,IDX2015,A,2016,100.100485,
JPN,GDPHRWKD,TOT,IDX2015,A,2017,101.015295,
JPN,GDPHRWKD,TOT,IDX2015,A,2018,101.54942,
JPN,GDPHRWKD,TOT,IDX2015,A,2019,103.130094,
JPN,GDPHRWKD,TOT,IDX2015,A,2020,104.530906,E
KOR,GDPHRWKD,TOT,IDX2015,A,2001,57.749912,
KOR,GDPHRWKD,TOT,IDX2015,A,2002,61.555051,
KOR,GDPHRWKD,TOT,IDX2015,A,2003,64.411473,
KOR,GDPHRWKD,TOT,IDX2015,A,2004,67.327239,
KOR,GDPHRWKD,TOT,IDX2015,A,2005,70.49439,
KOR,GDPHRWKD,TOT,IDX2015,A,2006,73.429329,
KOR,GDPHRWKD,TOT,IDX2015,A,2007,78.075747,
KOR,GDPHRWKD,TOT,IDX2015,A,2008,82.473976,
KOR,GDPHRWKD,TOT,IDX2015,A,2009,85.326469,
KOR,GDPHRWKD,TOT,IDX2015,A,2010,90.409766,
KOR,GDPHRWKD,TOT,IDX2015,A,2011,93.025425,
KOR,GDPHRWKD,TOT,IDX2015,A,2012,94.337746,
KOR,GDPHRWKD,TOT,IDX2015,A,2013,96.456293,
KOR,GDPHRWKD,TOT,IDX2015,A,2014,98.65271,
KOR,GDPHRWKD,TOT,IDX2015,A,2015,100,
KOR,GDPHRWKD,TOT,IDX2015,A,2016,102.785021,
KOR,GDPHRWKD,TOT,IDX2015,A,2017,107.376218,
KOR,GDPHRWKD,TOT,IDX2015,A,2018,111.478289,
KOR,GDPHRWKD,TOT,IDX2015,A,2019,114.112628,
