Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Afghanistan,2018,2.694,7.692,0.508,52.600,0.374,-0.094,0.928,0.424,0.405
Albania,2018,5.004,9.518,0.684,68.700,0.824,0.009,0.899,0.713,0.319
Algeria,2018,5.043,9.348,0.799,65.900,0.583,-0.146,0.759,0.591,0.293
Argentina,2018,5.793,10.032,0.900,68.800,0.846,-0.211,0.855,0.820,0.321
Armenia,2018,5.062,9.451,0.814,66.900,0.808,-0.163,0.677,0.581,0.455
Australia,2018,7.177,10.811,0.940,73.600,0.916,0.146,0.405,0.759,0.187
Austria,2018,7.396,10.928,0.912,73.000,0.904,0.053,0.523,0.752,0.226
Azerbaijan,2018,5.168,9.562,0.781,65.500,0.772,-0.232,0.561,0.593,0.191
Bangladesh,2018,4.499,8.399,0.706,64.300,0.901,-0.043,0.701,0.541,0.361
Belarus,2018,5.234,9.846,0.905,66.100,0.644,-0.174,0.718,0.450,0.236
Belgium,2018,6.892,10.844,0.930,72.000,0.808,-0.125,0.630,0.750,0.250
Benin,2018,5.820,8.059,0.504,54.300,0.713,0.002,0.747,0.647,0.468
Bolivia,2018,5.916,9.066,0.827,63.600,0.863,-0.093,0.786,0.742,0.387
Bosnia and Herzegovina,2018,5.887,9.576,0.836,67.800,0.659,0.123,0.913,0.643,0.277
Botswana,2018,3.461,9.778,0.795,58.900,0.818,-0.254,0.807,0.730,0.267
Brazil,2018,6.191,9.589,0.882,66.400,0.751,-0.117,0.763,0.750,0.350
Bulgaria,2018,5.099,10.007,0.924,66.800,0.724,-0.176,0.952,0.639,0.189
Burkina Faso,2018,4.927,7.665,0.665,53.900,0.721,-0.013,0.757,0.711,0.343
Burundi,2018,3.775,6.635,0.485,53.400,0.646,-0.024,0.599,0.666,0.363
Cambodia,2018,5.122,8.333,0.795,61.600,0.958,0.036,,0.845,0.414
Cameroon,2018,5.251,8.190,0.677,52.700,0.816,0.036,0.884,0.642,0.356
Canada,2018,7.175,10.798,0.923,73.600,0.946,0.106,0.372,0.824,0.259
Chad,2018,4.486,7.363,0.577,48.200,0.650,0.024,0.763,0.553,0.544
Chile,2018,6.436,10.097,0.890,69.900,0.789,-0.060,0.816,0.833,0.276
China,2018,5.131,9.632,0.788,69.300,0.895,-0.159,,0.856,0.190
Colombia,2018,5.984,9.579,0.871,67.700,0.851,-0.148,0.855,0.825,0.301
Comoros,2018,3.973,8.028,0.621,57.200,0.560,0.086,0.794,0.748,0.337
Congo (Brazzaville),2018,5.490,8.136,0.621,57.900,0.699,-0.092,0.738,0.588,0.448
Costa Rica,2018,7.141,9.874,0.876,71.300,0.942,-0.107,0.781,0.870,0.326
Croatia,2018,5.536,10.224,0.910,70.200,0.691,-0.151,0.925,0.582,0.290
Cyprus,2018,6.276,10.567,0.826,73.700,0.794,-0.022,0.848,0.750,0.298
Czech Republic,2018,7.034,10.583,0.929,70.300,0.790,-0.292,0.851,0.714,0.178
Denmark,2018,7.649,10.935,0.958,72.400,0.935,0.018,0.151,0.821,0.206
Dominican Republic,2018,5.433,9.782,0.862,65.800,0.867,-0.150,0.762,0.745,0.291
Ecuador,2018,6.128,9.355,0.851,68.500,0.869,-0.099,0.831,0.876,0.328
Egypt,2018,4.005,9.338,0.759,61.700,0.682,-0.215,,0.492,0.285
El Salvador,2018,6.241,9.061,0.820,66.100,0.863,-0.095,0.801,0.860,0.270
Estonia,2018,6.091,10.472,0.933,68.600,0.886,-0.141,0.621,0.795,0.163
Ethiopia,2018,4.379,7.651,0.740,58.500,0.740,0.039,0.799,0.660,0.272
Finland,2018,7.858,10.783,0.962,71.900,0.938,-0.127,0.199,0.782,0.182
France,2018,6.666,10.727,0.921,73.800,0.816,-0.138,0.582,0.767,0.282
Gabon,2018,4.783,9.599,0.785,59.700,0.719,-0.197,0.823,0.641,0.418
Gambia,2018,4.922,7.671,0.685,55.000,0.719,0.440,0.691,0.804,0.379
Georgia,2018,4.659,9.565,0.617,64.500,0.775,-0.233,0.755,0.573,0.244
Germany,2018,7.118,10.890,0.920,72.200,0.877,0.034,0.496,0.780,0.243
Ghana,2018,5.004,8.555,0.761,57.200,0.817,0.062,0.846,0.747,0.250
Greece,2018,5.409,10.299,0.794,72.400,0.564,-0.335,0.860,0.666,0.255
Guatemala,2018,6.627,9.042,0.841,64.800,0.910,-0.010,0.765,0.871,0.262
Guinea,2018,5.252,7.823,0.630,54.400,0.731,0.092,0.778,0.744,0.440
Haiti,2018,3.615,7.477,0.538,55.700,0.591,0.422,0.720,0.584,0.359
Honduras,2018,5.908,8.643,0.827,67.200,0.872,0.099,0.804,0.872,0.287
Hungary,2018,5.936,10.344,0.941,67.600,0.693,-0.243,0.911,0.676,0.201
India,2018,3.818,8.779,0.638,60.100,0.890,0.085,0.805,0.657,0.357
Indonesia,2018,5.340,9.339,0.809,62.100,0.879,0.512,0.868,0.864,0.296
Iran,2018,4.278,,0.674,66.000,0.603,,0.703,0.553,0.493
Iraq,2018,4.886,9.274,0.764,60.200,0.598,-0.068,0.887,0.605,0.482
Ireland,2018,6.962,11.332,0.938,72.300,0.861,0.144,0.362,0.811,0.213
Israel,2018,6.927,10.585,0.910,73.300,0.725,0.055,0.770,0.663,0.282
Italy,2018,6.517,10.650,0.913,73.600,0.650,-0.021,0.888,0.649,0.403
Ivory Coast,2018,5.268,8.523,0.621,49.500,0.713,-0.050,0.791,0.682,0.386
Japan,2018,5.794,10.623,0.886,75.000,0.773,-0.261,0.687,0.703,0.185
Jordan,2018,4.639,9.196,0.800,66.800,0.762,-0.186,,,
Kazakhstan,2018,6.008,10.148,0.937,64.600,0.840,-0.098,0.824,0.693,0.162
Kenya,2018,4.656,8.344,0.707,60.100,0.821,0.291,0.844,0.759,0.237
Kosovo,2018,6.392,9.296,0.822,,0.890,0.269,0.922,0.778,0.170
Kyrgyzstan,2018,5.297,8.543,0.898,64.100,0.945,0.267,0.907,0.763,0.203
Laos,2018,4.859,8.935,0.705,58.700,0.907,0.141,0.634,0.852,0.332
Latvia,2018,5.901,10.307,0.913,66.800,0.608,-0.212,0.799,0.585,0.192
Lebanon,2018,5.167,9.656,0.829,67.100,0.607,-0.066,0.907,0.464,0.271
Liberia,2018,4.135,7.311,0.727,56.100,0.766,0.050,0.868,0.660,0.436
Libya,2018,5.494,9.617,0.824,62.300,0.781,-0.101,0.646,0.706,0.399
Lithuania,2018,6.309,10.474,0.929,67.300,0.699,-0.237,0.852,0.517,0.214
Luxembourg,2018,7.243,11.645,0.902,72.600,0.884,-0.022,0.385,0.750,0.202
Madagascar,2018,4.071,7.386,0.666,59.100,0.551,0.003,0.889,0.752,0.362
Malawi,2018,3.335,6.949,0.528,57.600,0.799,0.073,0.766,0.586,0.365
Malaysia,2018,5.339,10.223,0.789,67.000,0.875,0.127,0.894,0.824,0.200
Maldives,2018,5.198,9.826,0.913,70.600,0.855,0.024,,,
Mali,2018,4.416,7.733,0.692,51.700,0.737,-0.034,0.793,0.770,0.370
Malta,2018,6.910,10.670,0.932,72.200,0.927,0.179,0.595,0.721,0.296
Mauritania,2018,4.314,8.526,0.802,57.000,0.467,-0.112,0.711,0.663,0.276
Mauritius,2018,5.882,10.008,0.909,66.400,0.867,-0.073,0.785,0.774,0.158
Mexico,2018,6.550,9.903,0.858,68.300,0.816,-0.179,0.809,0.882,0.213
Moldova,2018,5.682,9.423,0.892,65.000,0.824,-0.084,0.929,0.582,0.270
Mongolia,2018,5.465,9.386,0.942,62.300,0.696,0.054,0.849,0.654,0.192
Montenegro,2018,5.650,9.934,0.856,68.500,0.626,-0.051,0.769,0.590,0.355
Morocco,2018,4.897,8.914,0.554,65.900,0.773,-0.234,0.843,0.638,0.416
Mozambique,2018,4.654,7.162,0.738,54.200,0.897,0.049,0.691,0.640,0.397
Myanmar,2018,4.411,8.523,0.774,59.000,0.906,0.490,0.647,0.777,0.300
Namibia,2018,4.834,9.204,0.864,56.500,0.754,-0.169,0.846,0.739,0.240
Nepal,2018,4.910,8.087,0.768,63.500,0.770,0.122,0.742,0.537,0.387
Netherlands,2018,7.463,10.941,0.939,72.300,0.920,0.161,0.371,0.862,0.205
New Zealand,2018,7.370,10.660,0.954,73.200,0.949,0.120,0.207,0.845,0.168
Nicaragua,2018,5.819,8.647,0.854,67.500,0.797,0.009,0.713,0.793,0.408
Niger,2018,5.164,7.087,0.612,53.500,0.791,0.009,0.637,0.771,0.503
Nigeria,2018,5.252,8.548,0.741,49.700,0.790,-0.010,0.866,0.805,0.256
North Cyprus,2018,5.608,,0.837,,0.797,,0.614,0.480,0.262
North Macedonia,2018,5.240,9.677,0.849,65.389,0.745,-0.041,0.910,0.590,0.298
Norway,2018,7.444,11.056,0.966,73.200,0.960,0.094,0.268,0.827,0.212
Pakistan,2018,5.472,8.464,0.685,58.500,0.773,0.069,0.799,0.567,0.377
Palestinian Territories,2018,4.554,,0.819,,0.655,,0.814,0.610,0.419
Panama,2018,6.281,10.343,0.904,69.600,0.861,-0.131,0.837,0.884,0.223
Peru,2018,5.680,9.456,0.845,68.100,0.830,-0.178,0.906,0.809,0.380
Philippines,2018,5.869,9.050,0.846,61.900,0.918,-0.108,0.726,0.773,0.393
Poland,2018,6.111,10.366,0.863,69.300,0.870,-0.254,0.720,0.742,0.176
Portugal,2018,5.920,10.434,0.887,72.400,0.877,-0.261,0.880,0.679,0.318
Romania,2018,6.151,10.260,0.818,67.200,0.845,-0.217,0.921,0.735,0.298
Russia,2018,5.514,10.191,0.909,64.300,0.729,-0.147,0.865,0.673,0.199
Rwanda,2018,3.561,7.644,0.616,61.100,0.924,0.057,0.164,0.793,0.308
Saudi Arabia,2018,6.356,10.771,0.868,66.300,0.855,-0.192,,0.764,0.288
Senegal,2018,4.769,8.106,0.739,59.600,0.629,-0.074,0.805,0.714,0.247
Serbia,2018,5.936,9.762,0.853,68.200,0.740,-0.100,0.864,0.559,0.296
Sierra Leone,2018,4.306,7.417,0.650,50.800,0.716,0.095,0.856,0.552,0.466
Singapore,2018,6.375,11.490,0.903,76.800,0.916,-0.066,0.097,0.787,0.107
Slovakia,2018,6.235,10.376,0.922,68.900,0.758,-0.167,0.910,0.754,0.253
Slovenia,2018,6.249,10.546,0.941,71.100,0.942,-0.119,0.839,0.644,0.275
South Africa,2018,4.884,9.444,0.841,56.500,0.753,-0.050,0.841,0.812,0.283
South Korea,2018,5.840,10.643,0.798,73.600,0.600,-0.089,0.797,0.661,0.217
Spain,2018,6.513,10.605,0.910,74.400,0.722,-0.075,0.777,0.659,0.357
Sri Lanka,2018,4.435,9.462,0.833,67.200,0.859,0.106,0.856,0.831,0.302
Swaziland,2018,4.212,9.060,0.779,50.353,0.710,-0.178,0.692,0.824,0.252
Sweden,2018,7.375,10.881,0.931,72.600,0.942,0.077,0.263,0.823,0.161
Switzerland,2018,7.509,11.134,0.930,74.100,0.926,0.101,0.301,0.792,0.192
Taiwan Province of China,2018,6.467,,0.896,,0.741,,0.736,0.848,0.093
Tajikistan,2018,5.497,8.082,0.875,64.100,,-0.065,0.578,0.695,0.220
Tanzania,2018,3.445,7.859,0.675,57.500,0.807,0.153,0.612,0.762,0.221
Thailand,2018,6.012,9.803,0.873,67.200,0.905,0.259,0.907,0.843,0.198
Togo,2018,4.023,7.348,0.596,54.700,0.612,-0.007,0.809,0.608,0.446
Tunisia,2018,4.741,9.284,0.733,66.900,0.650,-0.191,0.840,0.592,0.365
Turkey,2018,5.186,10.251,0.847,66.800,0.529,-0.176,0.805,0.435,0.351
Turkmenistan,2018,4.621,9.605,0.984,62.200,0.858,0.260,,0.612,0.189
Uganda,2018,4.322,7.660,0.740,55.700,0.729,0.079,0.856,0.685,0.390
Ukraine,2018,4.662,9.420,0.901,64.600,0.663,-0.074,0.943,0.609,0.222
United Arab Emirates,2018,6.604,11.112,0.851,67.100,0.944,0.054,,0.787,0.302
United Kingdom,2018,7.233,10.743,0.928,72.300,0.838,0.226,0.404,0.783,0.228
United States,2018,6.883,11.025,0.904,68.300,0.825,0.116,0.710,0.815,0.292
Uruguay,2018,6.372,9.980,0.917,69.000,0.876,-0.097,0.683,0.877,0.275
Uzbekistan,2018,6.205,8.818,0.921,65.100,0.970,0.318,0.520,0.825,0.209
Venezuela,2018,5.006,,0.887,66.500,0.611,,0.828,0.759,0.374
Vietnam,2018,5.296,8.934,0.832,67.900,0.909,-0.041,0.808,0.692,0.191
Yemen,2018,3.058,,0.789,56.700,0.553,,0.793,0.461,0.315
Zambia,2018,4.041,8.167,0.718,55.300,0.791,0.048,0.811,0.703,0.351
Zimbabwe,2018,3.616,8.049,0.775,55.600,0.763,-0.068,0.844,0.710,0.212
